customer_id,purchase_amount,date_purchase
4021,123,5/11/2023
4006,194,2/2/2023
3965,119,7/13/2023
3963,150,10/4/2022
4115,50,7/5/2023
3980,131,1/23/2023
3971,73,7/17/2023
4109,80,10/18/2022
4012,143,4/23/2023
4110,71,3/17/2023
4120,29,2/12/2023
3988,70,11/2/2022
3987,91,12/21/2022
3979,30,3/30/2023
4111,,8/13/2023
3990,187,8/11/2023
4053,,7/10/2023
4122,116,3/17/2023
4101,148,11/26/2022
4004,25,9/24/2023
3985,117,8/7/2023
4004,159,1/22/2023
4021,15,8/7/2023
4032,157,1/25/2023
4076,11,12/6/2022
3976,86,5/26/2023
4120,117,9/25/2023
4073,198,12/21/2022
4027,164,6/11/2023
4066,134,1/2/2023
4039,121,7/5/2023
4022,109,11/15/2022
3998,183,12/22/2022
3975,195,7/22/2023
4027,,12/1/2022
3972,42,4/18/2023
4054,146,1/23/2023
4056,,3/29/2023
4042,154,8/31/2023
3972,31,10/26/2022
4023,44,3/3/2023
4024,56,7/17/2023
4002,,5/9/2023
4069,64,11/1/2022
3974,96,12/5/2022
4082,107,5/10/2023
4008,117,5/4/2023
4113,30,5/21/2023
4057,148,4/22/2023
4002,,8/28/2023
4122,67,3/20/2023
4082,176,12/28/2022
3984,,5/22/2023
3993,,12/26/2022
4095,15,7/12/2023
4067,71,8/27/2023
4012,,3/6/2023
4114,154,4/2/2023
4121,129,1/15/2023
3984,104,7/30/2023
4070,,6/9/2023
4023,193,2/14/2023
3983,,8/17/2023
3965,89,8/18/2023
3975,,7/29/2023
3975,,4/11/2023
4103,183,10/13/2022
4021,106,5/21/2023
4071,193,10/2/2022
3961,,6/17/2023
4084,170,7/8/2023
3995,188,5/12/2023
4120,185,3/5/2023
3957,40,10/3/2022
3966,154,5/4/2023
4056,98,6/12/2023
4025,179,4/6/2023
3995,139,5/1/2023
4041,13,10/13/2022
4057,135,12/27/2022
4104,,10/24/2022
3957,172,7/8/2023
4088,127,10/7/2022
4082,121,9/7/2023
4079,,11/23/2022
4068,176,7/18/2023
4060,147,12/28/2022
3974,129,8/2/2023
4095,197,10/25/2022
4014,92,12/25/2022
3957,32,1/5/2023
4055,125,11/10/2022
4080,128,4/10/2023
3988,181,3/4/2023
4102,17,1/31/2023
4094,93,8/15/2023
4048,,10/18/2022
4042,76,2/22/2023
4034,162,2/11/2023
4059,80,7/6/2023
3971,142,7/22/2023
4118,31,10/19/2022
4122,114,7/28/2023
3980,71,1/25/2023
4050,175,12/29/2022
4093,124,12/21/2022
4044,33,3/29/2023
3977,113,1/8/2023
4074,88,2/5/2023
4031,104,1/15/2023
4122,145,12/29/2022
4008,200,10/5/2022
4002,100,12/26/2022
4098,79,2/4/2023
3967,69,4/3/2023
4055,,11/5/2022
4005,,10/22/2022
4033,,12/19/2022
4056,186,4/11/2023
3984,,8/31/2023
4118,133,3/20/2023
4048,160,3/27/2023
4081,144,11/1/2022
3978,35,11/29/2022
4118,85,8/14/2023
4069,55,1/25/2023
4005,191,3/23/2023
3992,80,2/24/2023
3966,,3/19/2023
4006,,9/16/2023
3963,42,10/19/2022
4108,135,1/25/2023
4018,,4/27/2023
4082,,7/26/2023
4056,132,6/17/2023
3973,57,7/12/2023
4095,74,7/15/2023
4121,132,2/24/2023
4035,,9/22/2023
4084,,1/16/2023
4093,157,8/17/2023
4072,23,1/9/2023
3961,,2/4/2023
3966,87,1/8/2023
4043,,12/24/2022
3971,152,3/1/2023
4043,165,2/5/2023
3967,168,4/21/2023
4060,143,12/24/2022
3987,123,8/1/2023
4011,160,5/8/2023
4090,88,12/8/2022
4074,25,10/5/2022
4094,199,7/4/2023
3995,,10/15/2022
4105,170,3/28/2023
4016,179,7/17/2023
3975,,7/4/2023
3966,151,8/28/2023
3993,,1/28/2023
4082,,12/3/2022
3961,162,12/5/2022
4077,18,2/16/2023
4115,190,2/17/2023
3968,126,11/17/2022
4019,,12/23/2022
3990,77,7/25/2023
3960,170,10/31/2022
4001,60,5/17/2023
4118,149,3/21/2023
3969,48,8/4/2023
4035,46,4/21/2023
3981,,3/11/2023
4073,,8/11/2023
4113,155,8/5/2023
4000,122,8/12/2023
4108,,12/9/2022
3973,189,10/30/2022
3984,79,12/1/2022
3986,136,12/14/2022
4084,163,2/3/2023
4109,,6/13/2023
4114,92,4/25/2023
4013,16,1/11/2023
3973,,11/9/2022
4008,157,6/5/2023
4066,15,5/25/2023
4043,182,3/9/2023
4059,157,7/30/2023
4040,,4/10/2023
3987,130,2/21/2023
4104,123,12/22/2022
4096,56,11/4/2022
3992,121,10/9/2022
4039,135,4/16/2023
4011,130,1/3/2023
3968,95,8/2/2023
4108,36,2/16/2023
4001,94,8/26/2023
4042,136,11/18/2022
3973,112,7/18/2023
3987,150,1/14/2023
4027,,5/19/2023
3993,,3/26/2023
4063,39,8/16/2023
4000,113,11/21/2022
4051,10,7/29/2023
4098,148,12/8/2022
3999,23,1/2/2023
4069,,4/22/2023
4019,137,5/18/2023
4105,23,11/9/2022
3967,150,9/26/2023
3991,,1/27/2023
3982,188,11/22/2022
4118,17,6/5/2023
4113,165,4/10/2023
4053,191,1/28/2023
3997,,4/25/2023
3961,151,12/6/2022
4081,67,5/6/2023
3977,39,2/19/2023
3958,40,6/1/2023
3958,49,3/14/2023
4002,193,12/18/2022
3979,190,9/8/2023
4108,133,6/19/2023
4029,72,8/20/2023
4063,47,4/24/2023
4078,163,2/7/2023
3989,44,4/16/2023
4009,80,11/23/2022
3993,116,12/13/2022
4120,139,9/26/2023
4026,10,10/15/2022
4090,86,8/15/2023
4072,158,5/7/2023
4062,135,12/2/2022
4018,124,5/19/2023
4001,98,1/27/2023
4113,149,10/15/2022
3966,92,10/4/2022
4109,188,7/21/2023
4003,108,8/1/2023
4084,115,12/22/2022
4113,,9/4/2023
3979,190,7/1/2023
4117,107,2/16/2023
4034,179,3/12/2023
4046,176,12/11/2022
4064,136,2/17/2023
3958,42,11/2/2022
4099,161,1/7/2023
4017,35,12/26/2022
4006,122,9/28/2023
3987,,11/25/2022
4092,13,11/3/2022
3981,114,4/1/2023
4115,49,9/20/2023
4049,,1/27/2023
4095,77,3/20/2023
4086,187,4/1/2023
4013,30,10/7/2022
4075,182,3/13/2023
4117,107,11/19/2022
4010,170,2/17/2023
4027,134,1/17/2023
3970,19,12/12/2022
4006,70,11/22/2022
3985,83,7/26/2023
3995,33,8/25/2023
4078,35,11/24/2022
4084,190,3/4/2023
4002,123,1/31/2023
3997,,9/8/2023
3968,17,10/27/2022
3970,,6/23/2023
4122,85,5/16/2023
4050,120,6/7/2023
4029,,7/31/2023
4010,154,5/26/2023
4068,56,8/24/2023
4021,,12/12/2022
4042,,2/12/2023
4114,168,5/28/2023
4073,137,8/7/2023
3968,46,12/5/2022
3983,173,4/11/2023
3970,75,9/21/2023
4094,129,2/7/2023
4002,183,12/8/2022
3997,28,12/19/2022
3964,98,11/18/2022
4081,86,6/15/2023
4088,118,7/8/2023
3986,126,1/30/2023
3975,60,9/29/2023
4017,133,2/9/2023
4070,,8/19/2023
4108,101,9/12/2023
4105,189,3/15/2023
4040,178,9/25/2023
4064,12,7/5/2023
4007,185,11/27/2022
4040,22,7/31/2023
4015,200,1/2/2023
3985,83,10/5/2022
4040,68,3/5/2023
4015,100,7/6/2023
3982,58,6/6/2023
4017,183,6/11/2023
4062,178,10/23/2022
4008,45,5/10/2023
4053,170,6/11/2023
4013,89,8/22/2023
3975,18,4/15/2023
4077,197,7/23/2023
4106,,1/11/2023
4081,93,1/16/2023
3970,54,1/30/2023
4068,148,12/28/2022
3994,103,7/30/2023
4012,79,7/30/2023
4113,75,7/14/2023
4073,133,5/10/2023
4002,85,4/1/2023
4056,96,11/19/2022
4052,129,4/3/2023
3991,46,8/14/2023
4074,67,10/31/2022
4006,195,12/25/2022
4118,111,3/25/2023
4048,152,5/29/2023
4026,111,7/6/2023
4008,,9/7/2023
4042,126,2/27/2023
3989,182,5/11/2023
3965,107,2/19/2023
4102,105,10/31/2022
3972,,6/25/2023
4028,16,3/21/2023
3991,153,8/23/2023
3985,166,6/16/2023
4076,26,4/3/2023
4074,128,6/28/2023
4064,87,6/30/2023
4000,39,1/8/2023
4044,,7/6/2023
4013,87,12/28/2022
4032,39,3/15/2023
4111,,9/25/2023
3997,44,5/13/2023
4120,104,9/30/2023
4113,200,6/3/2023
4000,148,12/10/2022
4104,200,4/27/2023
4098,116,12/29/2022
4015,135,10/11/2022
3979,81,6/19/2023
4062,,2/15/2023
4090,123,4/23/2023
4082,70,6/5/2023
4012,35,12/5/2022
4108,104,9/4/2023
4078,175,7/28/2023
4075,111,12/27/2022
4028,41,4/5/2023
3960,126,3/7/2023
4066,,1/20/2023
4020,173,8/24/2023
4020,15,3/14/2023
4040,,4/11/2023
4068,42,11/12/2022
4105,62,7/28/2023
4013,,4/20/2023
4108,63,12/27/2022
3995,69,7/13/2023
4103,47,12/22/2022
3958,162,12/29/2022
4063,,1/3/2023
3968,47,3/30/2023
3967,148,10/6/2022
4077,54,11/25/2022
4086,,7/2/2023
3965,43,1/3/2023
4065,,3/31/2023
4092,70,9/6/2023
4057,14,8/23/2023
4079,,4/27/2023
3982,,12/27/2022
4072,144,3/4/2023
4083,,5/18/2023
4018,,12/29/2022
3978,102,7/11/2023
4099,37,4/30/2023
3960,66,1/6/2023
4061,21,7/30/2023
4012,178,2/7/2023
3990,127,1/2/2023
4048,17,8/28/2023
4032,,10/8/2022
4018,112,11/17/2022
4122,37,12/27/2022
3980,123,12/24/2022
3961,,2/4/2023
4079,,2/19/2023
4035,26,11/15/2022
3998,,2/26/2023
4074,159,7/20/2023
4103,93,7/22/2023
4106,162,12/30/2022
3963,126,8/2/2023
4073,120,10/7/2022
4075,,10/8/2022
3992,177,8/8/2023
4060,151,9/26/2023
4004,65,9/2/2023
4051,68,5/3/2023
4117,126,4/21/2023
4075,196,12/28/2022
4119,,9/22/2023
3957,180,5/17/2023
4117,49,10/22/2022
3975,131,12/9/2022
4055,,4/29/2023
4042,33,4/24/2023
4092,200,10/2/2022
3965,43,2/13/2023
4032,160,3/26/2023
4066,153,10/28/2022
4026,41,7/26/2023
4113,180,4/4/2023
4095,118,5/10/2023
4104,194,1/9/2023
4010,,1/4/2023
3977,89,11/5/2022
4115,157,6/3/2023
4042,49,2/24/2023
3971,67,8/29/2023
4088,99,10/22/2022
4050,104,10/11/2022
3970,,1/28/2023
3985,67,8/12/2023
4055,153,11/9/2022
4050,169,10/27/2022
4076,174,11/14/2022
4115,165,7/23/2023
3967,187,1/22/2023
4050,56,2/4/2023
4050,89,4/9/2023
4001,99,1/12/2023
4122,,7/4/2023
4100,154,8/15/2023
3974,27,12/31/2022
4100,,12/9/2022
4009,17,12/23/2022
3992,,3/3/2023
4042,106,5/27/2023
4018,97,11/18/2022
4095,,11/15/2022
3986,93,8/1/2023
4079,155,1/23/2023
4105,23,4/15/2023
4010,,10/4/2022
4014,22,9/22/2023
4039,79,10/25/2022
4047,118,5/4/2023
4025,123,10/12/2022
4085,65,6/29/2023
4065,39,12/14/2022
4027,38,5/26/2023
3970,183,6/7/2023
3973,144,9/4/2023
4052,21,10/21/2022
4045,163,3/15/2023
4072,,4/24/2023
4081,64,2/22/2023
4085,75,4/24/2023
4091,40,11/27/2022
3988,,9/17/2023
4077,54,5/4/2023
4093,,10/30/2022
4093,68,6/1/2023
4031,181,5/13/2023
4072,28,12/7/2022
4115,199,4/20/2023
4051,,2/23/2023
3973,,1/21/2023
4005,90,9/29/2023
4074,156,6/28/2023
3979,173,4/1/2023
3977,39,10/7/2022
4057,93,10/9/2022
4002,,7/22/2023
4030,127,3/17/2023
3976,102,1/26/2023
3984,,5/27/2023
3999,72,12/29/2022
4027,112,1/12/2023
3985,111,2/17/2023
3994,200,5/6/2023
4084,95,11/17/2022
3995,29,5/17/2023
4009,39,5/7/2023
4090,59,9/4/2023
4117,99,12/16/2022
3962,175,1/24/2023
4032,70,9/11/2023
4063,,11/27/2022
4095,54,1/15/2023
3990,177,1/11/2023
4078,,4/30/2023
4045,170,11/29/2022
4064,154,10/8/2022
4070,124,8/27/2023
4122,154,8/14/2023
3962,169,2/11/2023
4031,170,2/23/2023
4005,122,10/1/2023
3973,,11/18/2022
3962,87,5/12/2023
4016,161,3/4/2023
4090,,12/11/2022
4122,89,1/12/2023
4042,19,11/21/2022
4062,,4/19/2023
4105,29,3/29/2023
4044,33,2/20/2023
4122,139,2/26/2023
4040,158,11/30/2022
4081,199,1/10/2023
4108,125,5/25/2023
4092,156,1/1/2023
4097,92,5/27/2023
4070,138,5/30/2023
4074,,9/4/2023
4034,,4/18/2023
4102,,6/26/2023
3990,97,4/5/2023
4035,31,6/3/2023
4000,54,5/5/2023
4023,,10/18/2022
4015,122,5/6/2023
4080,166,9/21/2023
4052,,1/16/2023
4030,82,2/7/2023
3969,96,8/7/2023
3994,23,2/28/2023
4047,175,1/2/2023
4029,94,8/17/2023
4073,,10/25/2022
3999,82,2/21/2023
4115,178,5/9/2023
3998,164,11/6/2022
4094,95,6/1/2023
4030,,3/18/2023
4003,99,3/25/2023
4001,177,11/22/2022
3996,110,6/20/2023
3998,,7/10/2023
4017,31,5/15/2023
3986,106,10/12/2022
3967,94,11/15/2022
4038,181,6/12/2023
4104,199,8/15/2023
3989,144,8/13/2023
4069,,7/18/2023
4023,140,1/6/2023
4051,102,12/29/2022
4004,64,3/4/2023
4009,134,9/24/2023
4100,,1/3/2023
3965,49,10/23/2022
4038,,12/27/2022
4045,35,2/25/2023
3994,148,7/15/2023
4052,144,1/22/2023
4071,,5/17/2023
4095,168,3/8/2023
3998,,2/15/2023
4093,51,2/15/2023
4034,,11/10/2022
3988,169,6/13/2023
3963,52,12/27/2022
4060,21,1/22/2023
4084,183,2/16/2023
3994,123,3/27/2023
4074,124,5/9/2023
4038,71,3/22/2023
3996,130,1/10/2023
3958,59,6/15/2023
4096,156,4/19/2023
4086,128,7/22/2023
4041,107,2/9/2023
4122,117,5/19/2023
4032,61,7/20/2023
4078,45,10/7/2022
4031,23,12/25/2022
4103,105,4/3/2023
3994,36,3/1/2023
4101,142,7/3/2023
4070,82,4/9/2023
4043,,1/25/2023
3985,,4/13/2023
4079,141,12/11/2022
3967,,5/4/2023
3992,66,7/15/2023
4098,99,7/19/2023
3986,116,10/23/2022
4035,,2/22/2023
3963,70,9/19/2023
4059,30,5/29/2023
4115,17,12/29/2022
4013,35,1/11/2023
4071,176,6/23/2023
4048,47,5/12/2023
3980,,9/28/2023
4040,130,2/15/2023
3971,45,11/3/2022
4112,130,9/1/2023
4121,11,10/8/2022
4006,14,10/3/2022
4106,48,8/2/2023
4091,196,3/24/2023
4013,118,1/26/2023
4028,,6/15/2023
4007,87,3/23/2023
3962,,8/18/2023
3978,173,3/11/2023
4094,127,6/5/2023
4071,,2/16/2023
3979,137,12/30/2022
4088,14,11/17/2022
4057,157,4/20/2023
4006,46,2/21/2023
4082,10,1/30/2023
4038,71,3/15/2023
4111,57,7/31/2023
4111,31,8/6/2023
4087,102,10/10/2022
3971,,10/18/2022
4049,139,7/26/2023
4058,139,1/22/2023
3994,109,6/3/2023
4066,21,7/2/2023
4051,105,11/10/2022
4055,14,2/13/2023
4052,27,9/11/2023
3960,197,5/8/2023
4029,36,10/27/2022
4045,198,3/7/2023
4046,44,6/9/2023
4035,,8/29/2023
4071,174,8/23/2023
4100,,4/30/2023
3979,128,11/19/2022
4012,132,3/1/2023
4070,44,1/23/2023
4063,,5/23/2023
4070,127,6/17/2023
4030,,6/26/2023
3998,61,2/13/2023
4065,90,2/20/2023
4063,141,1/18/2023
3992,149,5/24/2023
4107,19,10/28/2022
4110,58,4/22/2023
3979,22,4/12/2023
3993,94,11/13/2022
4010,104,7/6/2023
4034,112,5/21/2023
4078,108,8/31/2023
4091,57,3/30/2023
4042,137,5/2/2023
3973,142,2/10/2023
4108,31,5/2/2023
4053,30,5/29/2023
3979,56,12/8/2022
3958,92,9/14/2023
4061,,4/18/2023
4120,85,1/29/2023
4026,164,4/26/2023
4063,52,7/12/2023
4001,99,11/5/2022
4099,196,4/8/2023
4075,100,9/4/2023
4102,121,3/3/2023
3992,24,9/22/2023
4008,,11/15/2022
4004,103,6/24/2023
4054,183,4/10/2023
4031,,6/23/2023
4098,,8/9/2023
4082,183,7/21/2023
3967,18,10/19/2022
4034,,11/1/2022
4106,175,12/17/2022
4034,108,5/21/2023
4083,18,6/2/2023
4100,183,9/23/2023
4075,104,12/26/2022
4014,29,7/24/2023
3963,145,11/27/2022
3957,90,10/7/2022
3996,73,6/23/2023
4024,16,3/8/2023
4033,137,3/22/2023
4120,153,10/22/2022
4119,,9/24/2023
4077,190,5/22/2023
3988,166,8/30/2023
4030,135,7/16/2023
4063,44,4/17/2023
4002,125,10/12/2022
4082,,2/27/2023
4122,32,1/30/2023
4019,91,4/6/2023
3964,191,4/30/2023
3987,,5/9/2023
4027,86,10/19/2022
4083,192,3/23/2023
3974,189,10/20/2022
4110,102,1/26/2023
4049,41,9/28/2023
4105,45,2/5/2023
4080,136,5/17/2023
4101,,2/15/2023
4068,104,5/7/2023
4023,151,8/1/2023
4117,,6/19/2023
4078,26,2/4/2023
3987,193,1/18/2023
4052,144,10/15/2022
4088,114,4/22/2023
4104,28,6/6/2023
3961,,8/28/2023
4023,28,5/15/2023
3998,184,9/7/2023
4105,42,1/18/2023
3971,151,10/13/2022
3994,56,4/27/2023
4038,43,5/31/2023
4075,24,9/25/2023
3991,142,12/2/2022
4048,,7/9/2023
3998,,12/10/2022
3970,191,1/3/2023
4026,142,1/3/2023
4049,30,5/5/2023
4064,172,4/30/2023
4119,80,6/2/2023
4048,,7/23/2023
3969,146,8/26/2023
4031,,2/22/2023
4031,161,11/12/2022
4092,49,8/12/2023
4120,,10/10/2022
3976,164,6/21/2023
4088,154,5/21/2023
4006,,6/19/2023
4117,30,8/29/2023
4003,,6/18/2023
3981,157,5/10/2023
4110,63,3/19/2023
3999,116,1/21/2023
4096,17,6/16/2023
4039,170,3/19/2023
4037,174,9/13/2023
4034,133,8/4/2023
4026,185,10/25/2022
4049,126,4/18/2023
3981,,5/31/2023
4093,,1/15/2023
4105,133,7/22/2023
4047,97,5/2/2023
3993,90,1/14/2023
3960,91,3/6/2023
3992,98,9/15/2023
4089,43,12/27/2022
4029,141,9/23/2023
4052,91,6/22/2023
4081,41,9/22/2023
4062,73,8/14/2023
4044,,6/16/2023
3998,,6/5/2023
3983,167,4/24/2023
4012,50,10/14/2022
3996,157,3/12/2023
4085,58,8/24/2023
4013,137,3/16/2023
4005,129,10/13/2022
4100,88,9/10/2023
4114,33,8/24/2023
4091,139,3/5/2023
4093,71,7/21/2023
4098,100,12/11/2022
3986,,12/12/2022
4063,162,12/1/2022
4074,177,9/22/2023
3976,83,5/23/2023
3986,37,11/1/2022
3990,77,2/13/2023
3961,113,8/29/2023
4079,112,7/16/2023
4046,,5/6/2023
4036,102,9/25/2023
4049,28,11/10/2022
3992,125,7/8/2023
4070,81,4/25/2023
4109,169,9/16/2023
4090,40,5/16/2023
4044,,10/17/2022
4001,,4/28/2023
4034,96,4/20/2023
3964,103,1/15/2023
3987,60,1/5/2023
4013,112,11/2/2022
3989,21,11/6/2022
3993,,4/25/2023
4015,131,12/24/2022
4035,48,7/24/2023
3989,141,9/13/2023
4010,,10/9/2022
3990,91,6/1/2023
3977,,1/8/2023
4065,199,7/26/2023
3985,161,7/26/2023
3976,140,12/31/2022
3961,191,6/19/2023
4080,131,8/13/2023
4067,104,11/12/2022
3967,38,9/11/2023
4007,159,7/19/2023
3984,195,7/3/2023
3965,171,12/22/2022
4088,,6/10/2023
4108,177,12/2/2022
3972,158,7/16/2023
4077,194,12/19/2022
3987,,5/4/2023
4021,144,9/26/2023
3968,168,3/16/2023
3973,107,1/14/2023
4034,,1/29/2023
3959,18,5/27/2023
3981,189,11/17/2022
3988,,5/24/2023
4111,,10/5/2022
4009,48,7/2/2023
4107,62,5/6/2023
4008,166,3/8/2023
4004,198,8/10/2023
4046,190,2/13/2023
3964,,12/28/2022
3980,93,4/27/2023
3994,132,7/29/2023
4028,90,2/28/2023
4105,127,12/21/2022
4046,97,10/17/2022
4047,183,1/15/2023
3998,194,9/23/2023
4085,187,7/31/2023
4113,133,7/3/2023
4018,,9/18/2023
4086,152,9/7/2023
4102,86,1/30/2023
3974,190,11/15/2022
3982,190,9/12/2023
4105,132,1/31/2023
3960,194,3/18/2023
4092,41,3/5/2023
